root@autodl-container-1gcj1rxds4-d7bef2bf:~/Code# python main.py --alg qsgd --dataset cifar --iid 0 --alpha 0.1 --epochs 400 --gpu 0
Files already downloaded and verified
Files already downloaded and verified
Load dataset: cifar | Train set: 50000, Test set: 10000, Clients: 100
Model: cnn, Params: 2,777,674
Experiment Setup: Algorithm=qsgd, Dataset=cifar(Non-IID), Model=cnn, Epochs=400, Clients=100(10%), Local Epochs=5
QSGD Config: Quantization Bits=8
Other Configs: EMA=Off, Device=cuda:0, Optimizer=sgd, LR=0.001, Seed=42
[Cold Start] Initial model distribution: 1086790.6KB, Cumulative: 1086790.6KB
Round 32: TestAcc: 20.97%, TestLoss: 2.0113, TrainAcc: 85.39%, TrainLoss: 1.0645, Comm: 1113964.3KB, Cum: 35646856.9KB, Time: 35.2s                                           
Round 33: TestAcc: 29.90%, TestLoss: 1.8939, TrainAcc: 79.60%, TrainLoss: 1.2123, Comm: 1113964.3KB, Cum: 36760821.2KB, Time: 33.1s                                           
Round 34: TestAcc: 25.68%, TestLoss: 2.0684, TrainAcc: 83.88%, TrainLoss: 1.1656, Comm: 1113964.3KB, Cum: 37874785.4KB, Time: 33.5s                                           
Round 35: TestAcc: 20.84%, TestLoss: 2.0800, TrainAcc: 86.61%, TrainLoss: 1.1619, Comm: 1113964.3KB, Cum: 38988749.7KB, Time: 34.3s                                           
Round 36: TestAcc: 20.15%, TestLoss: 2.0770, TrainAcc: 90.71%, TrainLoss: 1.0014, Comm: 1113964.3KB, Cum: 40102714.0KB, Time: 33.5s                                           
Round 37: TestAcc: 25.39%, TestLoss: 1.9777, TrainAcc: 84.70%, TrainLoss: 1.1839, Comm: 1113964.3KB, Cum: 41216678.3KB, Time: 32.6s                                           
Round 38: TestAcc: 29.02%, TestLoss: 1.9541, TrainAcc: 84.19%, TrainLoss: 1.1288, Comm: 1113964.3KB, Cum: 42330642.5KB, Time: 33.8s                                           
Round 39: TestAcc: 22.46%, TestLoss: 2.0970, TrainAcc: 88.83%, TrainLoss: 1.0287, Comm: 1113964.3KB, Cum: 43444606.8KB, Time: 31.5s                                           
Round 40: TestAcc: 20.32%, TestLoss: 2.1481, TrainAcc: 84.38%, TrainLoss: 1.0762, Comm: 1113964.3KB, Cum: 44558571.1KB, Time: 35.0s                                           
Round 41: TestAcc: 23.84%, TestLoss: 2.0848, TrainAcc: 83.65%, TrainLoss: 1.2488, Comm: 1113964.3KB, Cum: 45672535.4KB, Time: 32.7s                                           
Round 42: TestAcc: 13.71%, TestLoss: 2.1281, TrainAcc: 85.84%, TrainLoss: 1.1562, Comm: 1113964.3KB, Cum: 46786499.6KB, Time: 33.1s                                           
Round 43: TestAcc: 25.36%, TestLoss: 1.9429, TrainAcc: 77.76%, TrainLoss: 1.2980, Comm: 1113964.3KB, Cum: 47900463.9KB, Time: 33.6s                                           
Round 44: TestAcc: 23.70%, TestLoss: 1.9836, TrainAcc: 92.27%, TrainLoss: 0.8987, Comm: 1113964.3KB, Cum: 49014428.2KB, Time: 35.5s                                           
Round 45: TestAcc: 20.25%, TestLoss: 2.1108, TrainAcc: 85.39%, TrainLoss: 0.9666, Comm: 1113964.3KB, Cum: 50128392.5KB, Time: 35.9s                                           
Round 46: TestAcc: 20.29%, TestLoss: 2.0425, TrainAcc: 88.07%, TrainLoss: 1.1195, Comm: 1113964.3KB, Cum: 51242356.8KB, Time: 34.2s                                           
Round 47: TestAcc: 22.92%, TestLoss: 2.0240, TrainAcc: 79.33%, TrainLoss: 1.2498, Comm: 1113964.3KB, Cum: 52356321.0KB, Time: 31.2s                                           
Round 48: TestAcc: 19.71%, TestLoss: 2.0716, TrainAcc: 87.11%, TrainLoss: 1.1818, Comm: 1113964.3KB, Cum: 53470285.3KB, Time: 31.8s                                           
Round 49: TestAcc: 21.84%, TestLoss: 2.0000, TrainAcc: 89.57%, TrainLoss: 0.9503, Comm: 1113964.3KB, Cum: 54584249.6KB, Time: 35.2s                                           
Round 50: TestAcc: 26.23%, TestLoss: 2.0163, TrainAcc: 83.13%, TrainLoss: 1.0749, Comm: 1113964.3KB, Cum: 55698213.9KB, Time: 36.7s                                           
Round 51: TestAcc: 23.42%, TestLoss: 1.9713, TrainAcc: 84.69%, TrainLoss: 1.1789, Comm: 1113964.3KB, Cum: 56812178.1KB, Time: 31.4s                                           
Round 52: TestAcc: 26.22%, TestLoss: 1.9335, TrainAcc: 86.63%, TrainLoss: 1.0743, Comm: 1113964.3KB, Cum: 57926142.4KB, Time: 35.0s                                           
Round 53: TestAcc: 30.10%, TestLoss: 1.9125, TrainAcc: 78.99%, TrainLoss: 1.2513, Comm: 1113964.3KB, Cum: 59040106.7KB, Time: 35.6s                                           
Round 54: TestAcc: 21.94%, TestLoss: 2.0863, TrainAcc: 91.19%, TrainLoss: 1.1508, Comm: 1113964.3KB, Cum: 60154071.0KB, Time: 33.4s                                           
Round 55: TestAcc: 28.16%, TestLoss: 2.0594, TrainAcc: 89.89%, TrainLoss: 0.9797, Comm: 1113964.3KB, Cum: 61268035.3KB, Time: 36.8s                                           
Round 56: TestAcc: 22.19%, TestLoss: 2.1110, TrainAcc: 88.19%, TrainLoss: 1.0224, Comm: 1113964.3KB, Cum: 62381999.5KB, Time: 37.5s                                           
Round 57: TestAcc: 28.53%, TestLoss: 1.9365, TrainAcc: 84.94%, TrainLoss: 1.2211, Comm: 1113964.3KB, Cum: 63495963.8KB, Time: 34.8s                                           
Round 58: TestAcc: 25.05%, TestLoss: 1.9167, TrainAcc: 86.22%, TrainLoss: 1.0257, Comm: 1113964.3KB, Cum: 64609928.1KB, Time: 37.4s                                           
Round 59: TestAcc: 22.73%, TestLoss: 1.9714, TrainAcc: 81.53%, TrainLoss: 1.1834, Comm: 1113964.3KB, Cum: 65723892.4KB, Time: 33.6s                                           
